# 用語集に載せないタグ
#
# check-glossary-coverage.mjs が参照する。1行1件、タグ名のあとに理由。
#
# ## なぜこのファイルが要るのか
#
# 用語集の候補をタグから機械的に出すと、**134件のうち大半が対象外**だった。
# 「日本」「比較」「速報」はサイトの分類であって用語ではなく、
# 「Alphabet」「WWDC」「iOS」は固有名詞である。用語集は
# 「読者が意味を調べたい技術用語」のためにある。
#
# 「初出が最近の語だけ」に絞る案も試したが、Android・EU・Sol・DeepMind が
# 並んで改善しなかった。**タグは用語集の語彙の代理にならない。**
#
# そこで一度だけ人手で分類し、以後は**未分類の新しいタグだけ**が候補に出る
# 形にした。ここへの一括登録は「問題を隠すため」ではなく、
# **既存の分類済みバックログを記録するため**である。
# 新しいタグを足すときは、1件ずつ理由を添えること。

# ── 分野・ジャンルの分類（記事の絞り込み用であって用語ではない）
オープンソース      記事の性質を示す分類
セキュリティ        分野の分類
規制                分野の分類
エンタープライズ    対象読者の分類
開発ツール          分野の分類
料金                記事の切り口
エディタ            製品カテゴリ
動画生成            分野の分類
画像生成            分野の分類
音楽生成            分野の分類
音声                分野の分類
中国AI              地域＋分野の分類
AI安全性            分野の分類（個別の概念は別途 RLHF 等で扱う）
AI インフラ         分野の分類
半導体              分野の分類
GPU                 ハードウェアの分類
ハードウェア        分野の分類
ロボティクス        分野の分類
量子コンピュータ    分野の分類（バイブコーディングの用語集の範囲外）
ヘルスケア          応用分野の分類
創薬                応用分野の分類
ゲノミクス          応用分野の分類
広告                応用分野の分類
教育                応用分野の分類
研究                応用分野の分類
法律                応用分野の分類
デザイン            応用分野の分類
クリエイティブ      応用分野の分類
ブラウザ            製品カテゴリ
モバイル            プラットフォームの分類
アバター            製品カテゴリ

# ── 記事の型・切り口（type / 読み口を示すもの）
速報                記事の型
おすすめ            記事の切り口
比較                記事の切り口
入門                記事の切り口
実用スキル          記事の切り口
モデルリリース      記事の型
アップデート        記事の型
リーク              情報の性質
決算                記事の型
訴訟                記事の型

# ── 社会・経済・制度（技術用語ではない）
プライバシー        社会的論点
倫理                社会的論点
ガバナンス          社会的論点
透明性              社会的論点
著作権              法制度
労働                社会的論点
社会                社会的論点
戦略                経営の話題
ビジネスモデル      経営の話題
サブスクリプション  課金形態
資金調達            経営イベント
投資                経営イベント
買収                経営イベント
IPO                 経営イベント
M&A                 経営イベント
Series H            資金調達ラウンドの呼称
人材                経営の話題
監査                業務プロセス
サプライチェーン攻撃  攻撃手法。用語集に入れる価値はあるが security 分野の記事側で解説済み
無料                提供条件
個人開発            開発者の属性
非エンジニア        読者の属性
開発体験            評価の観点
ユーザー体験        評価の観点
パーソナライズ      機能の性質
多言語              機能の性質
ドキュメント        成果物の種類
自動化              広すぎる語。個別の手法名で扱う

# ── 地域・国
日本                地域
米国                地域
EU                  地域
米中                地域関係
米国政府            主体
EU AI Act           個別の法令名（固有名詞）

# ── 固有名詞（企業・製品・人物・イベント・OS）
#    aiCompanies.js に無いために自動判定を通り抜けるもの
Mythos              Anthropic のモデル名
Sol                 OpenAI のモデル名
Terra               OpenAI のモデル名
Luna                OpenAI のモデル名
SpaceX              企業名
Alibaba             企業名
Alphabet            企業名
DeepMind            組織名
Z.ai                企業名
freee               企業名
OpenClaw            製品名
Muse                製品名
Figma               製品名
Entra ID            製品名
LangChain           製品名
Pinecone            製品名
pgvector            製品名（拡張機能）
Flux                製品名
GLM                 モデル名
Nano Banana         製品の俗称
Kling               製品名
Aider               製品名
VS Code             製品名
Power Apps          製品名
TerminalBench       ベンチマーク名
Project Glasswing   プログラム名
Lex Fridman         人物名
Dario Amodei        人物名
Jensen Huang        人物名
TBPN                番組名
ポッドキャスト      媒体の種類
I/O 2026            イベント名
WWDC                イベント名
Windows             OS
Android             OS
iOS                 OS
macOS               OS
CVE                 脆弱性識別子の制度名。個別の用語ではない
